Region,Apr-19,Apr-20,Apr-21,Apr-22,Apr-23,Apr-24,,,,,,,,,,,,,,
Philippines,5.1,17.7,8.7,5.7,4.5,4,,,,,,,,,,,,,,
National Capital Region (NCR),6.3,12.3,14.4,7.5,5.3,4.4,,,,,,,,,,,,,,
Cordillera Administrative Region (CAR),2.9,25.3,6,4.4,2.7,3.8,,,,,,,,,,,,,,
Region I (Ilocos Region),6,22.3,7.5,5.9,4.5,3.5,,,,,,,,,,,,,,
Region II (Cagayan Valley),3.1,15.6,8.8,3.8,2.4,3.6,,,,,,,,,,,,,,
Region III (Central Luzon),5.2,27.3,8.8,5.2,4.7,3.3,,,,,,,,,,,,,,
Region IV-A (CALABARZON),5.4,16.7,13.4,6.8,5.5,5.3,,,,,,,,,,,,,,
MIMAROPA Region,4.8,15.3,5.9,5.2,2.9,4.1,,,,,,,,,,,,,,
Region V (Bicol Region),5.6,15.7,7,6.2,3.9,5.4,,,,,,,,,,,,,,
Region VI (Western Visayas),4.8,13.7,7.5,5.6,4.3,4,,,,,,,,,,,,,,
Region VII (Central Visayas),5.3,16.7,8.2,5.2,5.2,4,,,,,,,,,,,,,,
Region VIII (Eastern Visayas),4,14.3,5,6,4.2,3,,,,,,,,,,,,,,
Region IX (Zamboanga Peninsula),4.6,23.9,3.3,2.9,2.8,2.3,,,,,,,,,,,,,,
Region X (Northern Mindanao),5,11.1,5.5,4.1,5.3,4.4,,,,,,,,,,,,,,
Region XI (Davao Region),3.1,17.9,4.2,3.8,3.3,3.6,,,,,,,,,,,,,,
Region XII (SOCCSKSARGEN),4.6,21.2,4.8,5.4,4,3.8,,,,,,,,,,,,,,
Region XIII (Caraga),4.1,12.3,5.8,4.1,3,4,,,,,,,,,,,,,,
Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),8.3,29.8,6.6,8.1,4.3,3,,,,,,,,,,,,,,
